Idx,Specie,File,Validation,Suggested Specie,Comment
39,Whistle,channelA_2025-02-22_22-58-40_373_378_0.58.WAV,2,Bird,Foca?
40,Whistle,channelA_2025-02-23_10-15-59_445_450_0.62.WAV,0,Ferry,ferry
41,Whistle,channelA_2025-02-23_10-15-59_772_777_0.71.WAV,-1,,
42,Whistle,channelA_2025-02-23_10-37-50_82_87_0.55.WAV,-1,,
43,Whistle,channelA_2025-02-23_11-21-32_1126_1131_0.66.WAV,0,What?,
44,Whistle,channelA_2025-02-23_11-21-32_1165_1170_0.7.WAV,-1,,
45,Whistle,channelA_2025-02-23_11-21-32_1168_1173_0.59.WAV,-1,,
46,Whistle,channelA_2025-02-23_11-43-23_22_27_0.61.WAV,0,Motor boat,
47,Whistle,channelA_2025-02-23_11-43-23_508_513_0.88.WAV,0,What?,
48,Whistle,channelA_2025-02-23_11-43-23_514_519_0.99.WAV,0,What?,
49,Whistle,channelA_2025-02-23_11-43-23_520_525_0.94.WAV,0,What?,
50,Whistle,channelA_2025-02-23_11-43-23_523_528_1.0.WAV,0,What?,
51,Whistle,channelA_2025-02-23_11-43-23_526_531_1.0.WAV,0,What?,
52,Whistle,channelA_2025-02-23_13-54-29_400_405_0.53.WAV,-1,,
53,Whistle,channelA_2025-02-23_13-54-29_412_417_0.71.WAV,0,Ambiental,
54,Whistle,channelA_2025-02-23_13-54-29_991_996_0.69.WAV,0,Ferry,
55,Whistle,channelA_2025-02-23_15-00-02_616_621_0.59.WAV,0,Ferry,
56,Whistle,channelA_2025-02-23_16-27-26_505_510_0.57.WAV,0,Ferry,
57,Whistle,channelA_2025-02-23_16-27-26_673_678_0.61.WAV,0,Ferry,
58,Whistle,channelA_2025-02-23_16-27-26_730_735_0.61.WAV,0,Ferry,
59,Whistle,channelA_2025-02-23_17-54-49_307_312_0.52.WAV,0,Ferry,
60,Whistle,channelA_2025-02-23_17-54-49_367_372_0.66.WAV,0,Ferry,
61,Whistle,channelA_2025-02-23_17-54-49_559_564_0.68.WAV,0,Ferry,
62,Whistle,channelA_2025-02-23_18-38-31_838_843_0.6.WAV,0,Motor boat,
63,Whistle,channelA_2025-02-23_19-00-22_643_648_0.71.WAV,0,Ferry,
64,Whistle,channelA_2025-02-24_14-40-14_346_351_0.71.WAV,-1,,
65,Whistle,channelA_2025-02-24_14-40-14_97_102_0.6.WAV,-1,,
66,Whistle,channelA_2025-02-24_15-02-05_478_483_0.51.WAV,-1,,
67,Whistle,channelA_2025-02-24_18-18-44_937_942_0.55.WAV,-1,,
68,Whistle,channelA_2025-02-24_21-35-23_118_123_0.5.WAV,0,Ambiental,
69,Whistle,channelA_2025-02-25_00-30-10_769_774_0.69.WAV,0,Ferry,
70,Whistle,channelA_2025-02-25_10-20-07_178_183_0.61.WAV,0,Ferry,
71,Whistle,channelA_2025-02-25_10-20-07_241_246_0.6.WAV,0,Ferry,
72,Whistle,channelA_2025-02-25_14-14-36_502_507_0.72.WAV,0,Ambiental,
73,Whistle,channelA_2025-02-26_03-43-01_1000_1005_0.51.WAV,0,Ambiental,
74,Whistle,channelA_2025-02-26_13-54-49_1270_1275_0.63.WAV,0,Motor boat,
75,Whistle,channelA_2025-02-26_13-54-49_1279_1284_0.53.WAV,0,Motor boat,
76,Whistle,channelA_2025-02-26_20-49-57_181_186_0.61.WAV,0,What?,
77,Whistle,channelA_2025-02-26_23-44-45_1207_1212_0.75.WAV,-1,,
78,Whistle,channelA_2025-02-27_08-29-08_490_495_0.56.WAV,-1,,
79,Whistle,channelA_2025-02-27_10-40-14_757_762_0.51.WAV,-1,,
80,Whistle,channelA_2025-02-27_12-29-28_721_726_0.82.WAV,0,Motor boat,
81,Whistle,channelA_2025-02-27_13-13-10_691_696_0.65.WAV,0,Motor boat,
82,Whistle,channelA_2025-02-27_13-56-52_868_873_0.79.WAV,2,Bird,
83,Whistle,channelA_2025-02-27_13-56-52_877_882_0.97.WAV,2,Bird,Foca?
84,Whistle,channelA_2025-02-27_13-56-52_880_885_0.88.WAV,2,Bird,Foca?
85,Whistle,channelA_2025-02-27_13-56-52_883_888_0.7.WAV,2,Bird,Foca?
86,Whistle,channelA_2025-02-27_13-56-52_886_891_0.9.WAV,2,Bird,Foca?
87,Whistle,channelA_2025-02-27_13-56-52_892_897_0.97.WAV,2,Bird,Foca?
88,Whistle,channelA_2025-02-27_13-56-52_907_912_0.83.WAV,2,Bird,Foca?
89,Whistle,channelA_2025-02-27_17-35-22_616_621_0.88.WAV,2,Bird,Foca?
90,Whistle,channelA_2025-02-27_17-35-22_934_939_0.71.WAV,2,Bird,Foca?
91,Whistle,channelA_2025-02-27_17-35-22_937_942_0.78.WAV,2,Bird,Foca?
92,Whistle,channelA_2025-02-27_17-35-22_940_945_0.87.WAV,2,Bird,Foca?
93,Whistle,channelA_2025-02-27_17-35-22_943_948_0.7.WAV,2,Bird,Foca?
94,Whistle,channelA_2025-02-28_09-36-45_502_507_0.6.WAV,0,What?,
95,Whistle,channelA_2025-02-28_14-42-38_835_840_0.54.WAV,-1,,
96,Whistle,channelA_2025-02-28_14-42-38_838_843_0.8.WAV,-1,,
97,Whistle,channelA_2025-02-28_17-59-17_1138_1143_0.62.WAV,0,Ambiental,
98,Whistle,channelA_2025-02-28_19-04-50_1204_1209_0.87.WAV,0,Ambiental,
99,Whistle,channelA_2025-02-28_19-04-50_469_474_0.53.WAV,0,Motor boat,
100,Whistle,channelA_2025-02-28_19-04-50_472_477_0.84.WAV,0,Motor boat,
101,Whistle,channelA_2025-02-28_19-26-41_262_267_0.55.WAV,-1,,
102,Whistle,channelA_2025-02-28_19-48-32_379_384_0.62.WAV,0,Ambiental,
103,Whistle,channelA_2025-02-28_20-10-23_607_612_0.61.WAV,0,Ambiental,
104,Whistle,channelA_2025-02-28_20-10-23_778_783_0.52.WAV,0,Ambiental,
105,Whistle,channelA_2025-02-28_20-32-14_1189_1194_0.53.WAV,0,Ambiental,
106,Whistle,channelA_2025-03-01_03-27-22_994_999_0.52.WAV,0,Ambiental,
107,Whistle,channelA_2025-03-01_03-49-13_613_618_0.52.WAV,0,Ambiental,
108,Whistle,channelA_2025-03-01_04-54-45_1246_1251_0.63.WAV,0,Ambiental,
109,Whistle,channelA_2025-03-01_06-00-18_667_672_0.78.WAV,0,Ambiental,
110,Whistle,channelA_2025-03-01_08-55-06_466_471_0.56.WAV,0,Motor boat,
111,Whistle,channelA_2025-03-01_09-38-48_940_945_0.61.WAV,0,Ferry,ferry
"112,Whistle,channelA_2025-03-01_11-28-03_382_387_0.72.WAV,-1,,""error, descartar medida"""
113,Whistle,channelA_2025-03-01_11-49-54_421_426_0.78.WAV,0,Motor boat,armónicos motor
114,Whistle,channelA_2025-03-01_12-11-45_526_531_0.67.WAV,-1,,respiraciones y clicks raros
115,Whistle,channelA_2025-03-01_12-11-45_529_534_0.99.WAV,-1,,respiraciones y clicks raros
116,Whistle,channelA_2025-03-01_12-11-45_550_555_0.76.WAV,-1,,respiraciones y clicks raros
117,Whistle,channelA_2025-03-01_13-17-18_475_480_0.59.WAV,0,Motor boat,armónicos motor
118,Whistle,channelA_2025-03-01_13-17-18_478_483_0.57.WAV,0,Motor boat,armónicos motor
119,Whistle,channelA_2025-03-01_14-22-51_874_879_0.56.WAV,-1,,armónicos motor
120,Whistle,channelA_2025-03-01_14-44-42_1003_1008_0.51.WAV,0,Motor boat,armónicos motor
121,Whistle,channelA_2025-03-01_14-44-42_1012_1017_0.58.WAV,0,Motor boat,armónicos motor
122,Whistle,channelA_2025-03-01_18-45-03_1162_1167_0.59.WAV,0,Ambiental,cizalla rar y clicks
123,Whistle,channelA_2025-03-02_10-46-25_808_813_0.54.WAV,0,Motor boat,armónicos motor
124,Whistle,channelA_2025-03-02_10-46-25_811_816_0.76.WAV,0,Motor boat,armónicos motor
125,Whistle,channelA_2025-03-02_10-46-25_814_819_0.72.WAV,0,Motor boat,armónicos motor
126,Whistle,channelA_2025-03-02_13-41-12_307_312_0.52.WAV,-1,,cizalla y respiración
127,Whistle,channelA_2025-03-02_14-24-54_985_990_0.51.WAV,0,Ferry,ferry y roces
128,Whistle,channelA_2025-03-02_16-57-51_625_630_0.59.WAV,-1,,clicks
129,Whistle,channelA_2025-03-02_22-03-45_85_90_0.88.WAV,1,,clicks
130,Whistle,channelA_2025-03-03_07-53-41_0_3_0.64.WAV,0,Ambiental,roces
131,Whistle,channelA_2025-03-03_10-48-29_853_858_0.55.WAV,0,Ambiental,cizalla rar y clicks
132,Whistle,channelA_2025-03-03_12-37-44_904_909_0.69.WAV,0,Motor boat,cizalla rar y clicks
133,Whistle,channelA_2025-03-03_13-43-17_634_639_0.53.WAV,-1,,cizalla rar y clicks
134,Whistle,channelA_2025-03-03_15-10-41_25_30_0.52.WAV,0,Ambiental,roces
135,Whistle,channelA_2025-03-03_15-10-41_883_888_0.63.WAV,-1,,roces
136,Whistle,channelA_2025-03-03_19-32-51_766_771_0.5.WAV,-1,,roces
137,Whistle,channelA_2025-03-04_06-28-21_376_381_0.64.WAV,-1,,clicks
138,Whistle,channelA_2025-03-04_06-28-21_496_501_0.74.WAV,-1,,clicks
139,Whistle,channelA_2025-03-04_14-29-02_1108_1113_0.96.WAV,0,Motor boat,armónicos motor
140,Whistle,channelA_2025-03-04_14-29-02_1120_1125_0.76.WAV,0,Motor boat,armónicos motor
141,Whistle,channelA_2025-03-04_14-29-02_1126_1131_0.52.WAV,0,Motor boat,armónicos motor
142,Whistle,channelA_2025-03-04_15-12-44_979_984_0.73.WAV,0,Motor boat,armónicos motor
143,Whistle,channelA_2025-03-04_18-07-32_82_87_0.62.WAV,0,Motor boat,armónicos motor
144,Whistle,channelA_2025-03-04_18-29-23_835_840_0.6.WAV,0,Motor boat,armónicos motor
145,Whistle,channelA_2025-03-04_18-29-23_841_846_0.54.WAV,0,Motor boat,armónicos motor
146,Whistle,channelA_2025-03-05_01-24-33_601_606_0.69.WAV,-1,,clicks
147,Whistle,channelA_2025-03-05_02-08-15_1141_1146_0.58.WAV,-1,,clicks
148,Whistle,channelA_2025-03-05_02-08-15_157_162_0.53.WAV,-1,,clicks
149,Whistle,channelA_2025-03-05_02-08-15_451_456_0.58.WAV,0,Ambiental,roces
150,Whistle,channelA_2025-03-05_02-08-15_64_69_0.57.WAV,0,Ambiental,roces
151,Whistle,channelA_2025-03-05_02-08-15_880_885_0.6.WAV,0,Ambiental,roces y moan
152,Whistle,channelA_2025-03-05_02-30-06_1084_1089_0.84.WAV,0,Ambiental,roces y moan
153,Whistle,channelA_2025-03-05_02-30-06_433_438_0.84.WAV,0,Motor boat,roces y moan
154,Whistle,channelA_2025-03-05_02-30-06_502_507_0.76.WAV,0,Ferry,roces
155,Whistle,channelA_2025-03-05_02-30-06_805_810_0.54.WAV,0,Ferry,ferry
156,Whistle,channelA_2025-03-05_02-51-57_574_579_0.67.WAV,0,Ferry,ferry
157,Whistle,channelA_2025-03-05_02-51-57_769_774_0.63.WAV,0,Ferry,ferry
158,Whistle,channelA_2025-03-05_03-57-30_1162_1167_0.56.WAV,0,Motor boat,armónicos motor
159,Whistle,channelA_2025-03-05_04-19-21_523_528_0.81.WAV,0,Ambiental,roces
160,Whistle,channelA_2025-03-05_06-30-25_874_879_0.69.WAV,1,,roces
161,Whistle,channelA_2025-03-05_11-58-10_97_102_0.71.WAV,0,Motor boat,motor boat
162,Whistle,channelA_2025-03-05_12-41-52_322_327_0.78.WAV,0,Ambiental,roces
163,Whistle,channelA_2025-03-05_14-52-58_292_297_0.9.WAV,0,Motor boat,armónicos motor
164,Whistle,channelA_2025-03-05_14-52-58_295_300_0.73.WAV,0,Motor boat,armónicos motor
165,Whistle,channelA_2025-03-05_17-47-46_232_237_0.54.WAV,-1,,clicks
166,Whistle,channelA_2025-03-05_17-47-46_823_828_0.61.WAV,0,Ambiental,cizalla rar y clicks
167,Whistle,channelA_2025-03-05_18-53-19_412_417_0.5.WAV,-1,,cizalla rar y clicks
168,Whistle,channelA_2025-03-05_19-37-01_61_66_0.51.WAV,-1,,clicks
169,Whistle,channelA_2025-03-05_23-37-21_670_675_1.0.WAV,1,,clicks
170,Whistle,channelA_2025-03-06_03-37-42_1270_1275_0.51.WAV,-1,,clicks
171,Whistle,channelA_2025-03-06_07-38-03_316_321_0.85.WAV,0,Motor boat,roces
172,Whistle,channelA_2025-03-06_08-21-45_502_507_0.69.WAV,-1,,roces
173,Whistle,channelA_2025-03-06_08-21-45_706_711_0.5.WAV,-1,,clicks
174,Whistle,channelA_2025-03-06_09-49-09_1048_1053_0.69.WAV,-1,,clicks
175,Whistle,channelA_2025-03-06_10-54-42_217_222_0.54.WAV,-1,,clicks
176,Whistle,channelA_2025-03-06_11-16-33_1237_1242_0.68.WAV,0,Motor boat,armónicos motor
177,Whistle,channelA_2025-03-06_11-16-33_1288_1293_0.53.WAV,0,Motor boat,armónicos motor
178,Whistle,channelA_2025-03-07_05-29-02_1222_1227_0.5.WAV,0,Ambiental,cizalla rar y clicks
179,Whistle,channelA_2025-03-07_08-01-59_634_639_0.59.WAV,0,Ferry,ferry y clicks
180,Whistle,channelA_2025-03-07_08-45-41_1063_1068_0.8.WAV,-1,,clicks
181,Whistle,channelA_2025-03-07_12-02-20_625_630_0.57.WAV,-1,,clicks
182,Whistle,channelA_2025-03-07_14-13-26_1300_1305_0.54.WAV,0,Ferry,ferry
183,Whistle,channelA_2025-03-08_05-31-07_682_687_0.54.WAV,0,Ambiental,roces
184,Whistle,channelA_2025-03-08_12-26-14_1210_1215_0.56.WAV,0,Ambiental,clicks raros y respiración
185,Whistle,channelA_2025-03-08_12-26-14_1249_1254_0.63.WAV,0,Ambiental,roces
186,Whistle,channelA_2025-03-08_12-26-14_238_243_0.54.WAV,0,Ferry,ferry y roces
187,Whistle,channelA_2025-03-08_12-48-05_1162_1167_0.72.WAV,-1,,
188,Whistle,channelA_2025-03-08_12-48-05_133_138_0.62.WAV,-1,,
189,Whistle,channelA_2025-03-08_12-48-05_625_630_0.81.WAV,0,What?,
190,Whistle,channelA_2025-03-08_13-09-56_775_780_0.77.WAV,0,Ambiental,
191,Whistle,channelA_2025-03-08_13-09-56_787_792_0.77.WAV,-1,,
192,Whistle,channelA_2025-03-08_13-09-56_805_810_0.68.WAV,0,Ambiental,
193,Whistle,channelA_2025-03-08_13-31-47_421_426_0.62.WAV,0,Ferry,
194,Whistle,channelA_2025-03-08_13-53-38_856_861_0.55.WAV,0,Ambiental,
195,Whistle,channelA_2025-03-08_14-15-29_709_714_0.52.WAV,-1,,
196,Whistle,channelA_2025-03-08_15-42-53_592_597_0.55.WAV,0,Ambiental,
197,Whistle,channelA_2025-03-08_15-42-53_73_78_0.53.WAV,-1,,
198,Whistle,channelA_2025-03-08_15-42-53_817_822_0.63.WAV,-1,,
199,Whistle,channelA_2025-03-08_16-04-44_1048_1053_0.81.WAV,0,Ambiental,
200,Whistle,channelA_2025-03-08_16-04-44_1135_1140_0.54.WAV,0,Ambiental,
201,Whistle,channelA_2025-03-08_16-04-44_148_153_0.53.WAV,-1,,
202,Whistle,channelA_2025-03-08_16-04-44_22_27_0.66.WAV,0,Ambiental,
203,Whistle,channelA_2025-03-08_16-04-44_451_456_0.93.WAV,0,Ambiental,
204,Whistle,channelA_2025-03-08_21-54-20_1258_1263_0.62.WAV,0,Ambiental,
205,Whistle,channelA_2025-03-08_23-21-44_1120_1125_0.51.WAV,0,Ambiental,
206,Whistle,channelA_2025-03-08_23-21-44_1129_1134_0.64.WAV,0,Ferry,
207,Whistle,channelA_2025-03-08_23-21-44_637_642_0.56.WAV,0,Ambiental,
208,Whistle,channelA_2025-03-09_00-49-07_238_243_0.85.WAV,0,Ferry,
209,Whistle,channelA_2025-03-09_00-49-07_319_324_0.54.WAV,0,Ambiental,
210,Whistle,channelA_2025-03-09_00-49-07_49_54_0.51.WAV,-1,,
211,Whistle,channelA_2025-03-09_00-49-07_76_81_0.58.WAV,-1,,
212,Whistle,channelA_2025-03-09_01-10-58_205_210_0.65.WAV,0,Ambiental,
213,Whistle,channelA_2025-03-09_01-10-58_553_558_0.58.WAV,0,Ferry,
214,Whistle,channelA_2025-03-09_01-10-58_820_825_0.55.WAV,-1,,
215,Whistle,channelA_2025-03-09_01-54-40_736_741_0.54.WAV,0,Ambiental,
216,Whistle,channelA_2025-03-09_02-16-31_232_237_0.67.WAV,0,Ambiental,
217,Whistle,channelA_2025-03-09_02-16-31_247_252_0.94.WAV,-1,,
218,Whistle,channelA_2025-03-09_02-16-31_400_405_0.66.WAV,-1,,
219,Whistle,channelA_2025-03-09_04-49-28_466_471_0.53.WAV,-1,,
220,Whistle,channelA_2025-03-09_08-06-07_382_387_0.61.WAV,0,Ferry,
221,Whistle,channelA_2025-03-09_11-44-37_382_387_0.61.WAV,0,Ferry,
222,Whistle,channelA_2025-03-09_11-44-37_913_918_0.84.WAV,0,Ambiental,
223,Whistle,channelA_2025-03-09_12-28-19_436_441_0.51.WAV,0,Ambiental,
224,Whistle,channelA_2025-03-09_13-33-52_247_252_0.81.WAV,0,Ferry,
225,Whistle,channelA_2025-03-09_13-55-43_322_327_0.98.WAV,-1,,
226,Whistle,channelA_2025-03-09_14-39-25_1021_1026_0.59.WAV,-1,,
227,Whistle,channelA_2025-03-09_14-39-25_1072_1077_0.79.WAV,-1,,
228,Whistle,channelA_2025-03-09_14-39-25_1078_1083_0.81.WAV,-1,,
229,Whistle,channelA_2025-03-09_14-39-25_1090_1095_0.61.WAV,0,Ferry,
230,Whistle,channelA_2025-03-09_14-39-25_1114_1119_0.55.WAV,0,Ferry,
231,Whistle,channelA_2025-03-09_14-39-25_1264_1269_0.82.WAV,0,Ambiental,
232,Whistle,channelA_2025-03-09_14-39-25_745_750_0.57.WAV,0,Ambiental,
233,Whistle,channelA_2025-03-09_14-39-25_880_885_0.53.WAV,-1,,
234,Whistle,channelA_2025-03-09_14-39-25_883_888_0.71.WAV,-1,,
235,Whistle,channelA_2025-03-09_14-39-25_916_921_0.97.WAV,-1,,
236,Whistle,channelA_2025-03-09_15-01-15_169_174_0.58.WAV,-1,,
237,Whistle,channelA_2025-03-09_15-23-06_688_693_0.61.WAV,0,Ambiental,roces
238,Whistle,channelA_2025-03-09_15-44-57_586_591_0.52.WAV,0,Ambiental,roces y golpes
239,Whistle,channelA_2025-03-09_15-44-57_766_771_0.56.WAV,0,Ambiental,roces y golpes
240,Whistle,channelA_2025-03-09_16-06-48_1213_1218_0.65.WAV,-1,,roces y golpes
241,Whistle,channelA_2025-03-09_17-12-21_460_465_0.61.WAV,-1,,roces y golpes
242,Whistle,channelA_2025-03-10_01-13-03_442_447_0.58.WAV,0,Ambiental,roces y clicks fuertes
243,Whistle,channelA_2025-03-10_04-07-51_787_792_0.53.WAV,0,Ambiental,roces
244,Whistle,channelA_2025-03-10_05-13-24_538_543_0.59.WAV,0,Ferry,moan
245,Whistle,channelA_2025-03-10_07-02-39_241_246_0.89.WAV,-1,,moan
246,Whistle,channelA_2025-03-10_08-08-12_1207_1212_0.71.WAV,-1,,moan
247,Whistle,channelA_2025-03-10_12-52-14_421_426_0.54.WAV,-1,,moan
248,Whistle,channelA_2025-03-10_14-19-38_157_162_0.67.WAV,0,Ferry,roces
249,Whistle,channelA_2025-03-10_14-19-38_160_165_0.68.WAV,-1,,roces
250,Whistle,channelA_2025-03-10_14-19-38_253_258_0.59.WAV,0,Ferry,roces y golpes
251,Whistle,channelA_2025-03-10_15-03-20_163_168_0.57.WAV,0,Ferry,roces y golpes
252,Whistle,channelA_2025-03-10_15-25-11_655_660_0.53.WAV,-1,,roces y golpes
253,Whistle,channelA_2025-03-10_15-47-02_1126_1131_0.68.WAV,0,Ambiental,roces y golpes
254,Whistle,channelA_2025-03-10_15-47-02_727_732_0.57.WAV,0,Ambiental,roces y golpes
255,Whistle,channelA_2025-03-10_15-47-02_730_735_0.86.WAV,-1,,roces y golpes
256,Whistle,channelA_2025-03-10_15-47-02_733_738_0.6.WAV,-1,,roces y golpes
257,Whistle,channelA_2025-03-10_15-47-02_979_984_0.93.WAV,-1,,roces y golpes
258,Whistle,channelA_2025-03-10_16-08-53_346_351_0.52.WAV,0,Ambiental,roces y golpes
259,Whistle,channelA_2025-03-10_16-08-53_679_684_0.7.WAV,0,Ambiental,roces y golpes
260,Whistle,channelA_2025-03-10_16-30-44_247_252_0.58.WAV,-1,,roces y golpes
261,Whistle,channelA_2025-03-10_23-47-46_1132_1137_0.58.WAV,-1,,roces y golpes
262,Whistle,channelA_2025-03-11_02-42-34_340_345_0.73.WAV,-1,,roces y golpes
263,Whistle,channelA_2025-03-11_03-04-25_40_45_0.5.WAV,-1,,roces y golpes
264,Whistle,channelA_2025-03-11_03-26-16_160_165_0.61.WAV,-1,,roces y golpes
265,Whistle,channelA_2025-03-11_04-09-58_457_462_0.62.WAV,-1,,roces y golpes
266,Whistle,channelA_2025-03-11_04-09-58_523_528_0.57.WAV,0,Ferry,roces y golpes
267,Whistle,channelA_2025-03-11_04-09-58_541_546_0.62.WAV,0,Ferry,roces y golpes
268,Whistle,channelA_2025-03-11_04-09-58_910_915_0.63.WAV,0,Ferry,roces y golpes
269,Whistle,channelA_2025-03-11_04-09-58_964_969_0.83.WAV,-1,,roces y golpes
270,Whistle,channelA_2025-03-11_04-31-49_502_507_0.55.WAV,-1,,roces y golpes
271,Whistle,channelA_2025-03-11_12-32-29_154_159_0.56.WAV,0,Ambiental,clicks
272,Whistle,channelA_2025-03-11_12-54-20_10_15_0.72.WAV,-1,,clicks
273,Whistle,channelA_2025-03-11_12-54-20_784_789_0.54.WAV,0,Ambiental,roces y golpes
274,Whistle,channelA_2025-03-11_13-16-11_1294_1299_0.64.WAV,0,Ferry,clicks
275,Whistle,channelA_2025-03-11_15-27-17_1186_1191_0.84.WAV,0,Ambiental,roces y clicks fuertes
276,Whistle,channelA_2025-03-11_15-27-17_1192_1197_0.54.WAV,0,Ambiental,roces y golpes
277,Whistle,channelA_2025-03-11_18-00-14_661_666_0.56.WAV,0,Ferry,roces y golpes
278,Whistle,channelA_2025-03-12_04-12-01_763_768_0.53.WAV,-1,,roces y golpes
279,Whistle,channelA_2025-03-12_15-07-30_421_426_0.66.WAV,0,Ferry,clicks
280,Whistle,channelA_2025-03-12_23-52-29_1117_1122_0.6.WAV,-1,,clicks
281,Whistle,channelA_2025-03-13_02-25-26_598_603_0.53.WAV,-1,,clicks
282,Whistle,channelA_2025-03-13_08-36-51_559_564_0.86.WAV,-1,,clicks
283,Whistle,channelA_2025-03-13_09-20-33_1024_1029_0.55.WAV,-1,,clicks
284,Whistle,channelA_2025-03-13_14-26-27_688_693_0.74.WAV,-1,,
285,Whistle,channelA_2025-03-13_14-26-27_691_696_0.95.WAV,-1,,
286,Whistle,channelA_2025-03-13_14-26-27_697_702_0.86.WAV,-1,,
287,Whistle,channelA_2025-03-13_14-26-27_949_954_0.53.WAV,-1,,
288,Whistle,channelA_2025-03-13_14-26-27_991_996_0.59.WAV,-1,,
289,Whistle,channelA_2025-03-13_14-48-18_1195_1200_0.74.WAV,-1,,
290,Whistle,channelA_2025-03-13_14-48-18_1198_1203_0.8.WAV,-1,,
291,Whistle,channelA_2025-03-13_14-48-18_1204_1209_0.77.WAV,-1,,
292,Whistle,channelA_2025-03-13_14-48-18_601_606_0.53.WAV,-1,,
293,Whistle,channelA_2025-03-13_14-48-18_607_612_0.67.WAV,-1,,
294,Whistle,channelA_2025-03-13_14-48-18_892_897_0.87.WAV,-1,,
295,Whistle,channelA_2025-03-13_15-10-09_100_105_0.9.WAV,-1,,
296,Whistle,channelA_2025-03-13_15-10-09_1180_1185_0.63.WAV,-1,,
297,Whistle,channelA_2025-03-13_15-10-09_154_159_0.64.WAV,-1,,
298,Whistle,channelA_2025-03-13_15-10-09_301_306_0.57.WAV,-1,,
299,Whistle,channelA_2025-03-13_15-10-09_361_366_0.5.WAV,-1,,
300,Whistle,channelA_2025-03-13_15-10-09_364_369_0.63.WAV,-1,,
301,Whistle,channelA_2025-03-13_15-10-09_367_372_0.82.WAV,-1,,
302,Whistle,channelA_2025-03-13_15-10-09_496_501_0.66.WAV,-1,,
